Key,LEA Code,School_Code,school name,School_Year,Student_Group,Metric,SchoolScore,AverageScore,ReportType,NSize,,,,,,,
313-2013-14-Hispanic / Latino-In-Seat Attendance Rate-External,1,313,Shepherd ES,2013-14,Hispanic / Latino,In-Seat Attendance Rate,94,95,External,30,,,,,,,
313-2013-14-Male-In-Seat Attendance Rate-External,1,313,Shepherd ES,2013-14,Male,In-Seat Attendance Rate,96,94,External,179,,,,,,,
313-2013-14-Multiracial-In-Seat Attendance Rate-External,1,313,Shepherd ES,2013-14,Multiracial,In-Seat Attendance Rate,97,96,External,25,,,,,,,
313-2013-14-Special Education-In-Seat Attendance Rate-External,1,313,Shepherd ES,2013-14,Special Education,In-Seat Attendance Rate,95,93,External,29,,,,,,,
313-2013-14-White non-Hispanic-In-Seat Attendance Rate-External,1,313,Shepherd ES,2013-14,White non-Hispanic,In-Seat Attendance Rate,97,96,External,18,,,,,,,
315-2013-14-All Students-In-Seat Attendance Rate-External,1,315,Simon ES,2013-14,All Students,In-Seat Attendance Rate,94,93,External,354,,,,,,,
315-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,315,Simon ES,2013-14,Black non-Hispanic,In-Seat Attendance Rate,94,92,External,353,,,,,,,
315-2013-14-Female-In-Seat Attendance Rate-External,1,315,Simon ES,2013-14,Female,In-Seat Attendance Rate,94,93,External,175,,,,,,,
315-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,315,Simon ES,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,95,93,External,320,,,,,,,
315-2013-14-Male-In-Seat Attendance Rate-External,1,315,Simon ES,2013-14,Male,In-Seat Attendance Rate,94,93,External,179,,,,,,,
315-2013-14-Special Education-In-Seat Attendance Rate-External,1,315,Simon ES,2013-14,Special Education,In-Seat Attendance Rate,94,92,External,52,,,,,,,
316-2013-14-All Students-In-Seat Attendance Rate-External,1,316,Randle Highlands ES,2013-14,All Students,In-Seat Attendance Rate,91,93,External,436,,,,,,,
316-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,316,Randle Highlands ES,2013-14,Black non-Hispanic,In-Seat Attendance Rate,91,92,External,430,,,,,,,
316-2013-14-Female-In-Seat Attendance Rate-External,1,316,Randle Highlands ES,2013-14,Female,In-Seat Attendance Rate,91,93,External,205,,,,,,,
316-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,316,Randle Highlands ES,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,91,93,External,393,,,,,,,
316-2013-14-Male-In-Seat Attendance Rate-External,1,316,Randle Highlands ES,2013-14,Male,In-Seat Attendance Rate,91,93,External,231,,,,,,,
316-2013-14-Special Education-In-Seat Attendance Rate-External,1,316,Randle Highlands ES,2013-14,Special Education,In-Seat Attendance Rate,91,92,External,54,,,,,,,
319-2013-14-All Students-In-Seat Attendance Rate-External,1,319,Stanton ES,2013-14,All Students,In-Seat Attendance Rate,91,93,External,702,,,,,,,
319-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,319,Stanton ES,2013-14,Black non-Hispanic,In-Seat Attendance Rate,90,92,External,683,,,,,,,
319-2013-14-Female-In-Seat Attendance Rate-External,1,319,Stanton ES,2013-14,Female,In-Seat Attendance Rate,91,93,External,340,,,,,,,
319-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,319,Stanton ES,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,91,93,External,660,,,,,,,
319-2013-14-Hispanic / Latino-In-Seat Attendance Rate-External,1,319,Stanton ES,2013-14,Hispanic / Latino,In-Seat Attendance Rate,92,95,External,15,,,,,,,
319-2013-14-Male-In-Seat Attendance Rate-External,1,319,Stanton ES,2013-14,Male,In-Seat Attendance Rate,90,93,External,362,,,,,,,
319-2013-14-Special Education-In-Seat Attendance Rate-External,1,319,Stanton ES,2013-14,Special Education,In-Seat Attendance Rate,91,92,External,72,,,,,,,
321-2013-14-All Students-In-Seat Attendance Rate-External,1,321,Stoddert ES,2013-14,All Students,In-Seat Attendance Rate,95,94,External,411,,,,,,,
321-2013-14-Asian-In-Seat Attendance Rate-External,1,321,Stoddert ES,2013-14,Asian,In-Seat Attendance Rate,96,97,External,30,,,,,,,
321-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,321,Stoddert ES,2013-14,Black non-Hispanic,In-Seat Attendance Rate,95,93,External,63,,,,,,,
321-2013-14-Female-In-Seat Attendance Rate-External,1,321,Stoddert ES,2013-14,Female,In-Seat Attendance Rate,95,94,External,207,,,,,,,
321-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,321,Stoddert ES,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,96,93,External,57,,,,,,,
321-2013-14-Hispanic / Latino-In-Seat Attendance Rate-External,1,321,Stoddert ES,2013-14,Hispanic / Latino,In-Seat Attendance Rate,96,95,External,39,,,,,,,
321-2013-14-Male-In-Seat Attendance Rate-External,1,321,Stoddert ES,2013-14,Male,In-Seat Attendance Rate,95,94,External,203,,,,,,,
321-2013-14-Multiracial-In-Seat Attendance Rate-External,1,321,Stoddert ES,2013-14,Multiracial,In-Seat Attendance Rate,95,96,External,21,,,,,,,
321-2013-14-Special Education-In-Seat Attendance Rate-External,1,321,Stoddert ES,2013-14,Special Education,In-Seat Attendance Rate,95,93,External,24,,,,,,,
321-2013-14-White non-Hispanic-In-Seat Attendance Rate-External,1,321,Stoddert ES,2013-14,White non-Hispanic,In-Seat Attendance Rate,95,96,External,255,,,,,,,
322-2013-14-All Students-In-Seat Attendance Rate-External,1,322,Smothers ES,2013-14,All Students,In-Seat Attendance Rate,93,93,External,363,,,,,,,
322-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,322,Smothers ES,2013-14,Black non-Hispanic,In-Seat Attendance Rate,93,92,External,346,,,,,,,
322-2013-14-Female-In-Seat Attendance Rate-External,1,322,Smothers ES,2013-14,Female,In-Seat Attendance Rate,93,93,External,187,,,,,,,
322-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,322,Smothers ES,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,93,93,External,335,,,,,,,
322-2013-14-Hispanic / Latino-In-Seat Attendance Rate-External,1,322,Smothers ES,2013-14,Hispanic / Latino,In-Seat Attendance Rate,94,95,External,14,,,,,,,
322-2013-14-Male-In-Seat Attendance Rate-External,1,322,Smothers ES,2013-14,Male,In-Seat Attendance Rate,93,93,External,176,,,,,,,
322-2013-14-Special Education-In-Seat Attendance Rate-External,1,322,Smothers ES,2013-14,Special Education,In-Seat Attendance Rate,92,92,External,49,,,,,,,
324-2013-14-All Students-In-Seat Attendance Rate-External,1,324,Takoma EC,2013-14,All Students,In-Seat Attendance Rate,95,93,External,491,,,,,,,
324-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,324,Takoma EC,2013-14,Black non-Hispanic,In-Seat Attendance Rate,95,92,External,327,,,,,,,
324-2013-14-Female-In-Seat Attendance Rate-External,1,324,Takoma EC,2013-14,Female,In-Seat Attendance Rate,95,93,External,230,,,,,,,
324-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,324,Takoma EC,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,95,92,External,464,,,,,,,
324-2013-14-Hispanic / Latino-In-Seat Attendance Rate-External,1,324,Takoma EC,2013-14,Hispanic / Latino,In-Seat Attendance Rate,96,95,External,134,,,,,,,
324-2013-14-Male-In-Seat Attendance Rate-External,1,324,Takoma EC,2013-14,Male,In-Seat Attendance Rate,95,93,External,261,,,,,,,
324-2013-14-Multiracial-In-Seat Attendance Rate-External,1,324,Takoma EC,2013-14,Multiracial,In-Seat Attendance Rate,95,95,External,14,,,,,,,
324-2013-14-Special Education-In-Seat Attendance Rate-External,1,324,Takoma EC,2013-14,Special Education,In-Seat Attendance Rate,93,92,External,80,,,,,,,
324-2013-14-White non-Hispanic-In-Seat Attendance Rate-External,1,324,Takoma EC,2013-14,White non-Hispanic,In-Seat Attendance Rate,97,96,External,13,,,,,,,
325-2013-14-All Students-In-Seat Attendance Rate-External,1,325,Thomas ES,2013-14,All Students,In-Seat Attendance Rate,91,93,External,519,,,,,,,
325-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,325,Thomas ES,2013-14,Black non-Hispanic,In-Seat Attendance Rate,91,92,External,499,,,,,,,
325-2013-14-Female-In-Seat Attendance Rate-External,1,325,Thomas ES,2013-14,Female,In-Seat Attendance Rate,91,93,External,269,,,,,,,
325-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,325,Thomas ES,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,91,93,External,474,,,,,,,
325-2013-14-Male-In-Seat Attendance Rate-External,1,325,Thomas ES,2013-14,Male,In-Seat Attendance Rate,91,93,External,250,,,,,,,
325-2013-14-Special Education-In-Seat Attendance Rate-External,1,325,Thomas ES,2013-14,Special Education,In-Seat Attendance Rate,92,92,External,77,,,,,,,
326-2013-14-All Students-In-Seat Attendance Rate-External,1,326,Thomson ES,2013-14,All Students,In-Seat Attendance Rate,97,93,External,313,,,,,,,
326-2013-14-Asian-In-Seat Attendance Rate-External,1,326,Thomson ES,2013-14,Asian,In-Seat Attendance Rate,97,96,External,60,,,,,,,
326-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,326,Thomson ES,2013-14,Black non-Hispanic,In-Seat Attendance Rate,95,92,External,52,,,,,,,
326-2013-14-Female-In-Seat Attendance Rate-External,1,326,Thomson ES,2013-14,Female,In-Seat Attendance Rate,97,93,External,144,,,,,,,
326-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,326,Thomson ES,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,97,93,External,299,,,,,,,
326-2013-14-Hispanic / Latino-In-Seat Attendance Rate-External,1,326,Thomson ES,2013-14,Hispanic / Latino,In-Seat Attendance Rate,97,95,External,189,,,,,,,
326-2013-14-Male-In-Seat Attendance Rate-External,1,326,Thomson ES,2013-14,Male,In-Seat Attendance Rate,97,93,External,169,,,,,,,
326-2013-14-Special Education-In-Seat Attendance Rate-External,1,326,Thomson ES,2013-14,Special Education,In-Seat Attendance Rate,97,92,External,42,,,,,,,
327-2013-14-All Students-In-Seat Attendance Rate-External,1,327,Truesdell EC,2013-14,All Students,In-Seat Attendance Rate,93,93,External,608,,,,,,,
327-2013-14-Asian-In-Seat Attendance Rate-External,1,327,Truesdell EC,2013-14,Asian,In-Seat Attendance Rate,96,96,External,12,,,,,,,
327-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,327,Truesdell EC,2013-14,Black non-Hispanic,In-Seat Attendance Rate,91,92,External,219,,,,,,,
327-2013-14-Female-In-Seat Attendance Rate-External,1,327,Truesdell EC,2013-14,Female,In-Seat Attendance Rate,93,93,External,304,,,,,,,
327-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,327,Truesdell EC,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,93,92,External,535,,,,,,,
327-2013-14-Hispanic / Latino-In-Seat Attendance Rate-External,1,327,Truesdell EC,2013-14,Hispanic / Latino,In-Seat Attendance Rate,94,95,External,364,,,,,,,
327-2013-14-Limited English Proficiency-In-Seat Attendance Rate-External,1,327,Truesdell EC,2013-14,Limited English Proficiency,In-Seat Attendance Rate,93,94,External,15,,,,,,,
327-2013-14-Male-In-Seat Attendance Rate-External,1,327,Truesdell EC,2013-14,Male,In-Seat Attendance Rate,92,93,External,303,,,,,,,
327-2013-14-Special Education-In-Seat Attendance Rate-External,1,327,Truesdell EC,2013-14,Special Education,In-Seat Attendance Rate,91,92,External,87,,,,,,,
328-2013-14-All Students-In-Seat Attendance Rate-External,1,328,Tubman ES,2013-14,All Students,In-Seat Attendance Rate,93,93,External,581,,,,,,,
328-2013-14-Asian-In-Seat Attendance Rate-External,1,328,Tubman ES,2013-14,Asian,In-Seat Attendance Rate,97,96,External,14,,,,,,,
328-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,328,Tubman ES,2013-14,Black non-Hispanic,In-Seat Attendance Rate,91,92,External,277,,,,,,,
328-2013-14-Female-In-Seat Attendance Rate-External,1,328,Tubman ES,2013-14,Female,In-Seat Attendance Rate,93,93,External,265,,,,,,,
328-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,328,Tubman ES,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,93,93,External,539,,,,,,,
328-2013-14-Hispanic / Latino-In-Seat Attendance Rate-External,1,328,Tubman ES,2013-14,Hispanic / Latino,In-Seat Attendance Rate,95,95,External,279,,,,,,,
328-2013-14-Limited English Proficiency-In-Seat Attendance Rate-External,1,328,Tubman ES,2013-14,Limited English Proficiency,In-Seat Attendance Rate,95,94,External,10,,,,,,,
328-2013-14-Male-In-Seat Attendance Rate-External,1,328,Tubman ES,2013-14,Male,In-Seat Attendance Rate,93,93,External,316,,,,,,,
328-2013-14-Special Education-In-Seat Attendance Rate-External,1,328,Tubman ES,2013-14,Special Education,In-Seat Attendance Rate,92,92,External,86,,,,,,,
329-2013-14-All Students-In-Seat Attendance Rate-External,1,329,Turner ES,2013-14,All Students,In-Seat Attendance Rate,93,93,External,473,,,,,,,
329-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,329,Turner ES,2013-14,Black non-Hispanic,In-Seat Attendance Rate,93,92,External,451,,,,,,,
329-2013-14-Female-In-Seat Attendance Rate-External,1,329,Turner ES,2013-14,Female,In-Seat Attendance Rate,93,93,External,230,,,,,,,
329-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,329,Turner ES,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,93,93,External,438,,,,,,,
329-2013-14-Hispanic / Latino-In-Seat Attendance Rate-External,1,329,Turner ES,2013-14,Hispanic / Latino,In-Seat Attendance Rate,94,95,External,14,,,,,,,
329-2013-14-Male-In-Seat Attendance Rate-External,1,329,Turner ES,2013-14,Male,In-Seat Attendance Rate,93,93,External,243,,,,,,,
329-2013-14-Special Education-In-Seat Attendance Rate-External,1,329,Turner ES,2013-14,Special Education,In-Seat Attendance Rate,93,92,External,41,,,,,,,
330-2013-14-All Students-In-Seat Attendance Rate-External,1,330,Tyler ES,2013-14,All Students,In-Seat Attendance Rate,96,93,External,565,,,,,,,
330-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,330,Tyler ES,2013-14,Black non-Hispanic,In-Seat Attendance Rate,95,92,External,415,,,,,,,
330-2013-14-Female-In-Seat Attendance Rate-External,1,330,Tyler ES,2013-14,Female,In-Seat Attendance Rate,96,93,External,268,,,,,,,
330-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,330,Tyler ES,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,96,93,External,525,,,,,,,
330-2013-14-Hispanic / Latino-In-Seat Attendance Rate-External,1,330,Tyler ES,2013-14,Hispanic / Latino,In-Seat Attendance Rate,96,95,External,49,,,,,,,
330-2013-14-Male-In-Seat Attendance Rate-External,1,330,Tyler ES,2013-14,Male,In-Seat Attendance Rate,95,93,External,296,,,,,,,
330-2013-14-Special Education-In-Seat Attendance Rate-External,1,330,Tyler ES,2013-14,Special Education,In-Seat Attendance Rate,95,92,External,79,,,,,,,
330-2013-14-White non-Hispanic-In-Seat Attendance Rate-External,1,330,Tyler ES,2013-14,White non-Hispanic,In-Seat Attendance Rate,97,96,External,84,,,,,,,
332-2013-14-All Students-In-Seat Attendance Rate-External,1,332,Walker Jones EC,2013-14,All Students,In-Seat Attendance Rate,89,93,External,544,,,,,,,
332-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,332,Walker Jones EC,2013-14,Black non-Hispanic,In-Seat Attendance Rate,89,92,External,514,,,,,,,
332-2013-14-Female-In-Seat Attendance Rate-External,1,332,Walker Jones EC,2013-14,Female,In-Seat Attendance Rate,89,93,External,259,,,,,,,
332-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,332,Walker Jones EC,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,89,92,External,503,,,,,,,
332-2013-14-Hispanic / Latino-In-Seat Attendance Rate-External,1,332,Walker Jones EC,2013-14,Hispanic / Latino,In-Seat Attendance Rate,92,95,External,13,,,,,,,
332-2013-14-Male-In-Seat Attendance Rate-External,1,332,Walker Jones EC,2013-14,Male,In-Seat Attendance Rate,89,93,External,285,,,,,,,
332-2013-14-Special Education-In-Seat Attendance Rate-External,1,332,Walker Jones EC,2013-14,Special Education,In-Seat Attendance Rate,88,92,External,123,,,,,,,
333-2013-14-All Students-In-Seat Attendance Rate-External,1,333,Watkins ES Capitol Hill Cluster,2013-14,All Students,In-Seat Attendance Rate,96,94,External,564,,,,,,,
333-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,333,Watkins ES Capitol Hill Cluster,2013-14,Black non-Hispanic,In-Seat Attendance Rate,96,94,External,427,,,,,,,
333-2013-14-Female-In-Seat Attendance Rate-External,1,333,Watkins ES Capitol Hill Cluster,2013-14,Female,In-Seat Attendance Rate,96,94,External,264,,,,,,,
333-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,333,Watkins ES Capitol Hill Cluster,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,94,94,External,214,,,,,,,
333-2013-14-Male-In-Seat Attendance Rate-External,1,333,Watkins ES Capitol Hill Cluster,2013-14,Male,In-Seat Attendance Rate,96,94,External,300,,,,,,,
333-2013-14-Multiracial-In-Seat Attendance Rate-External,1,333,Watkins ES Capitol Hill Cluster,2013-14,Multiracial,In-Seat Attendance Rate,97,96,External,12,,,,,,,
333-2013-14-Special Education-In-Seat Attendance Rate-External,1,333,Watkins ES Capitol Hill Cluster,2013-14,Special Education,In-Seat Attendance Rate,94,93,External,39,,,,,,,
333-2013-14-White non-Hispanic-In-Seat Attendance Rate-External,1,333,Watkins ES Capitol Hill Cluster,2013-14,White non-Hispanic,In-Seat Attendance Rate,97,97,External,114,,,,,,,
335-2013-14-All Students-In-Seat Attendance Rate-External,1,335,Wheatley EC,2013-14,All Students,In-Seat Attendance Rate,91,93,External,565,,,,,,,
335-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,335,Wheatley EC,2013-14,Black non-Hispanic,In-Seat Attendance Rate,91,92,External,535,,,,,,,
335-2013-14-Female-In-Seat Attendance Rate-External,1,335,Wheatley EC,2013-14,Female,In-Seat Attendance Rate,92,93,External,287,,,,,,,
335-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,335,Wheatley EC,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,91,92,External,505,,,,,,,
335-2013-14-Hispanic / Latino-In-Seat Attendance Rate-External,1,335,Wheatley EC,2013-14,Hispanic / Latino,In-Seat Attendance Rate,95,95,External,17,,,,,,,
335-2013-14-Male-In-Seat Attendance Rate-External,1,335,Wheatley EC,2013-14,Male,In-Seat Attendance Rate,91,93,External,278,,,,,,,
335-2013-14-Multiracial-In-Seat Attendance Rate-External,1,335,Wheatley EC,2013-14,Multiracial,In-Seat Attendance Rate,94,95,External,10,,,,,,,
335-2013-14-Special Education-In-Seat Attendance Rate-External,1,335,Wheatley EC,2013-14,Special Education,In-Seat Attendance Rate,91,92,External,85,,,,,,,
336-2013-14-All Students-In-Seat Attendance Rate-External,1,336,West EC,2013-14,All Students,In-Seat Attendance Rate,95,93,External,300,,,,,,,
336-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,336,West EC,2013-14,Black non-Hispanic,In-Seat Attendance Rate,94,92,External,168,,,,,,,
336-2013-14-Female-In-Seat Attendance Rate-External,1,336,West EC,2013-14,Female,In-Seat Attendance Rate,95,93,External,147,,,,,,,
336-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,336,West EC,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,94,92,External,174,,,,,,,
336-2013-14-Hispanic / Latino-In-Seat Attendance Rate-External,1,336,West EC,2013-14,Hispanic / Latino,In-Seat Attendance Rate,96,95,External,98,,,,,,,
336-2013-14-Male-In-Seat Attendance Rate-External,1,336,West EC,2013-14,Male,In-Seat Attendance Rate,95,93,External,153,,,,,,,
336-2013-14-Special Education-In-Seat Attendance Rate-External,1,336,West EC,2013-14,Special Education,In-Seat Attendance Rate,94,92,External,32,,,,,,,
336-2013-14-White non-Hispanic-In-Seat Attendance Rate-External,1,336,West EC,2013-14,White non-Hispanic,In-Seat Attendance Rate,94,96,External,27,,,,,,,
338-2013-14-All Students-In-Seat Attendance Rate-External,1,338,Whittier EC,2013-14,All Students,In-Seat Attendance Rate,92,93,External,432,,,,,,,
338-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,338,Whittier EC,2013-14,Black non-Hispanic,In-Seat Attendance Rate,92,92,External,348,,,,,,,
338-2013-14-Female-In-Seat Attendance Rate-External,1,338,Whittier EC,2013-14,Female,In-Seat Attendance Rate,92,93,External,197,,,,,,,
338-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,338,Whittier EC,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,92,92,External,388,,,,,,,
338-2013-14-Hispanic / Latino-In-Seat Attendance Rate-External,1,338,Whittier EC,2013-14,Hispanic / Latino,In-Seat Attendance Rate,91,95,External,69,,,,,,,
338-2013-14-Male-In-Seat Attendance Rate-External,1,338,Whittier EC,2013-14,Male,In-Seat Attendance Rate,92,93,External,235,,,,,,,
338-2013-14-Special Education-In-Seat Attendance Rate-External,1,338,Whittier EC,2013-14,Special Education,In-Seat Attendance Rate,90,92,External,93,,,,,,,
339-2013-14-All Students-In-Seat Attendance Rate-External,1,339,J O Wilson ES,2013-14,All Students,In-Seat Attendance Rate,94,93,External,501,,,,,,,
339-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,339,J O Wilson ES,2013-14,Black non-Hispanic,In-Seat Attendance Rate,94,92,External,447,,,,,,,
339-2013-14-Female-In-Seat Attendance Rate-External,1,339,J O Wilson ES,2013-14,Female,In-Seat Attendance Rate,95,93,External,248,,,,,,,
339-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,339,J O Wilson ES,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,94,93,External,465,,,,,,,
339-2013-14-Hispanic / Latino-In-Seat Attendance Rate-External,1,339,J O Wilson ES,2013-14,Hispanic / Latino,In-Seat Attendance Rate,95,95,External,21,,,,,,,
339-2013-14-Male-In-Seat Attendance Rate-External,1,339,J O Wilson ES,2013-14,Male,In-Seat Attendance Rate,94,93,External,253,,,,,,,
339-2013-14-Special Education-In-Seat Attendance Rate-External,1,339,J O Wilson ES,2013-14,Special Education,In-Seat Attendance Rate,92,92,External,68,,,,,,,
339-2013-14-White non-Hispanic-In-Seat Attendance Rate-External,1,339,J O Wilson ES,2013-14,White non-Hispanic,In-Seat Attendance Rate,97,96,External,22,,,,,,,
344-2013-14-All Students-In-Seat Attendance Rate-External,1,344,"King, M L ES",2013-14,All Students,In-Seat Attendance Rate,95,93,External,504,,,,,,,
344-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,344,"King, M L ES",2013-14,Black non-Hispanic,In-Seat Attendance Rate,95,92,External,503,,,,,,,
344-2013-14-Female-In-Seat Attendance Rate-External,1,344,"King, M L ES",2013-14,Female,In-Seat Attendance Rate,95,93,External,256,,,,,,,
344-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,344,"King, M L ES",2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,95,93,External,477,,,,,,,
344-2013-14-Male-In-Seat Attendance Rate-External,1,344,"King, M L ES",2013-14,Male,In-Seat Attendance Rate,95,93,External,248,,,,,,,
344-2013-14-Special Education-In-Seat Attendance Rate-External,1,344,"King, M L ES",2013-14,Special Education,In-Seat Attendance Rate,95,92,External,49,,,,,,,
346-2013-14-All Students-In-Seat Attendance Rate-External,1,346,Brookland EC at Bunker Hill,2013-14,All Students,In-Seat Attendance Rate,93,93,External,316,,,,,,,
346-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,346,Brookland EC at Bunker Hill,2013-14,Black non-Hispanic,In-Seat Attendance Rate,93,92,External,293,,,,,,,
346-2013-14-Female-In-Seat Attendance Rate-External,1,346,Brookland EC at Bunker Hill,2013-14,Female,In-Seat Attendance Rate,93,93,External,142,,,,,,,
346-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,346,Brookland EC at Bunker Hill,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,93,92,External,284,,,,,,,
346-2013-14-Hispanic / Latino-In-Seat Attendance Rate-External,1,346,Brookland EC at Bunker Hill,2013-14,Hispanic / Latino,In-Seat Attendance Rate,94,95,External,19,,,,,,,
346-2013-14-Male-In-Seat Attendance Rate-External,1,346,Brookland EC at Bunker Hill,2013-14,Male,In-Seat Attendance Rate,93,93,External,174,,,,,,,
346-2013-14-Special Education-In-Seat Attendance Rate-External,1,346,Brookland EC at Bunker Hill,2013-14,Special Education,In-Seat Attendance Rate,94,92,External,42,,,,,,,
360-2013-14-All Students-In-Seat Attendance Rate-External,1,360,Capitol Hill Montessori School at Logan,2013-14,All Students,In-Seat Attendance Rate,94,93,External,343,,,,,,,
360-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,360,Capitol Hill Montessori School at Logan,2013-14,Black non-Hispanic,In-Seat Attendance Rate,94,92,External,182,,,,,,,
360-2013-14-Female-In-Seat Attendance Rate-External,1,360,Capitol Hill Montessori School at Logan,2013-14,Female,In-Seat Attendance Rate,95,93,External,186,,,,,,,
360-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,360,Capitol Hill Montessori School at Logan,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,91,93,External,69,,,,,,,
360-2013-14-Hispanic / Latino-In-Seat Attendance Rate-External,1,360,Capitol Hill Montessori School at Logan,2013-14,Hispanic / Latino,In-Seat Attendance Rate,94,95,External,11,,,,,,,
360-2013-14-Male-In-Seat Attendance Rate-External,1,360,Capitol Hill Montessori School at Logan,2013-14,Male,In-Seat Attendance Rate,94,93,External,157,,,,,,,
360-2013-14-Multiracial-In-Seat Attendance Rate-External,1,360,Capitol Hill Montessori School at Logan,2013-14,Multiracial,In-Seat Attendance Rate,95,95,External,23,,,,,,,
360-2013-14-Special Education-In-Seat Attendance Rate-External,1,360,Capitol Hill Montessori School at Logan,2013-14,Special Education,In-Seat Attendance Rate,95,92,External,12,,,,,,,
360-2013-14-White non-Hispanic-In-Seat Attendance Rate-External,1,360,Capitol Hill Montessori School at Logan,2013-14,White non-Hispanic,In-Seat Attendance Rate,95,96,External,125,,,,,,,
370-2013-14-All Students-In-Seat Attendance Rate-External,1,370,Langley EC,2013-14,All Students,In-Seat Attendance Rate,91,93,External,344,,,,,,,
370-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,370,Langley EC,2013-14,Black non-Hispanic,In-Seat Attendance Rate,91,92,External,310,,,,,,,
370-2013-14-Female-In-Seat Attendance Rate-External,1,370,Langley EC,2013-14,Female,In-Seat Attendance Rate,92,93,External,141,,,,,,,
370-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,370,Langley EC,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,91,93,External,318,,,,,,,
370-2013-14-Hispanic / Latino-In-Seat Attendance Rate-External,1,370,Langley EC,2013-14,Hispanic / Latino,In-Seat Attendance Rate,92,95,External,29,,,,,,,
370-2013-14-Male-In-Seat Attendance Rate-External,1,370,Langley EC,2013-14,Male,In-Seat Attendance Rate,91,93,External,203,,,,,,,
